identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
1026741599876369665,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,696,2857,95.23,7.94,us
9113705124306517844,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
6303491998061101270,user,Brésil,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,577,2857,95.23,7.94,br
7156006172135909976,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,359,2857,95.23,7.94,us
2739589363071709186,user,France,fr,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,fr
-5043792775464769910,user,France,fr,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,457,2857,95.23,7.94,fr
-3797228525143080521,user,France,fr,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,fr
3755908417771017673,user,Etats-Unis,en,4,8,4,0,0,0.0,0,0,F,2,mrs,False,False,False,True,445,2857,95.23,7.94,us
448160219641282966,user,Australie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,au
-892735167945423238,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
6662253039575270002,user,Thailande,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,695,2857,95.23,7.94,th
938470650075683221,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-322594732594684573,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-105869520962287571,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
3085779120207536023,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,13,2857,95.23,7.94,us
1598527488632755214,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,440,2857,95.23,7.94,us
7270220639135300556,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-4833009787654666745,user,Finlande,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,fi
6679874607139301093,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
